isbn,title,rating_count,reviews,rating_value
9643127699,لاموزيکا دومين,232,22,3.54
9789643412715,مرغ دریایی,20850,608,3.92
9643624330,برف و سمفونی ابری,396,63,3.36
Persian,در ارتش فرعون,2499,192,4.08
Persian,عطر فرانسوی,74,3,3.20
9649043349,هبوط در کوير,3351,141,3.82
9646751261,سگ کشی، فیلم‌نامه,675,15,3.56
0739326228,Memoirs of a Geisha,1551954,27604,4.10
9789644481475,عشق,744,79,3.33
0374528373,The Brothers Karamazov,202445,9022,4.32
,خانواده تیبو دوره چهار جلدی,499,60,4.16
9647191235,هر چه نزدیک تر به تو آسمان آبی تر,19,0,4.05
Persian,سه گزارش کوتاه درباره‌ نوید و نگار,653,52,3.33
Persian,بازمانده روز,163714,11203,4.11
9642090679,خواب خوب بهشت,796,107,3.84
9645512379,پرده نئی، فیلم‌نامه,320,23,3.94
9649082166,چنین کنند بزرگان,1776,229,4.01
9789643054571,حتی وقتی می‌خندیم,321,30,2.78
English,کجا ممکن است پیدایش کنم,1231,121,3.64
Persian,ذوب شده,532,45,3.25
9643058980,سدوم و عموره,4635,360,4.36
0061122416,The Alchemist,1708816,66495,3.85
Persian,کاخ تنهایی,613,26,3.37
Persian,نوبت عاشقی,500,19,3.20
9647948735,داستان‌های کوتاه کافکا,22038,543,4.35
Persian,سیمای زنی در میان جمع,2570,163,3.95
Persian,خاطره‌ای در درونم است!,253,27,3.46
0234589756,پنجره,450,35,2.58
6001192036,مورچه‌ی آرژانتینی,310,22,3.28
9789643051396,طعم گس خرمالو,590,25,3.51
9643058263,مرگ قسطی,6115,352,4.22
Persian,یک روز مانده به عید پاک,385,36,3.53
9789643513931,زنگ‌ها برای که به صدا در می‌آید؟,227185,5463,3.96
9645509564,مدیر مدرسه,5843,262,3.43
9643620328,نان سال‌های جوانی,1879,154,3.55
9644310373,سیاه‌ مشق,1124,41,4.06
Persian,وضعيت آخر,14899,357,3.72
9644480562,سقوط,58543,2434,4.06
English,The Plague,127566,4266,3.98
Persian,خاطره‌های پراکنده,908,67,3.75
0096485641,اتفاق خودش نمی‌افتد,252,16,3.65
9643128326,عقرب روی پله‌های راه‌ آهن اندیمشک یا از این قطار خون می‌چکه قربان,620,74,3.47
9647514700,خروس,653,62,3.54
964560009X,جاذبه و دافعه علی,626,49,3.89
9649225714,يگانه,11241,277,3.95
9646194672,قطار به موقع رسید,1808,151,3.84
Persian,آیدا: درخت و خنجر و خاطره,841,36,4.12
9647033028,دومین مکتوب / Maktub II,9886,664,3.41
0000000342,يك عاشقانه ارام,3908,381,3.61
964719630X,عشق سال‌های وبا,356848,17086,3.90
0096436219,کیمیا خاتون,863,94,3.39
Persian,داستان راستان جلد اول,1462,60,3.17
9649971548,محاکمه,192041,5921,3.98
Persian,ابراهیم در آتش,1350,51,4.16
,L'Amant,29832,2090,3.75
Farsi,شیطان و دوشیزه پریم,54354,2673,3.60
